MALE_1,AGE_1,AGE_2,AGE_3,AGE_4,INCOME_0,INCOME_1,INCOME_2,FIRST_1,WHO_1,WHO_2,PURPOSE_1,PURPOSE_2,PURPOSE_3,LUGGAGE_1,LUGGAGE_2,GA_1,TRAIN_TT,TRAIN_HE,TRAIN_CO,SM_TT,SM_HE,SM_SEATS,SM_CO,CAR_TT,CAR_CO,CHOICE,CAR_AV
1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0.54,0.6,0.14,0.32,0.1,0.0,0.19,0.52,0.39,1,1
0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,2.22,1.2,0.5,0.77,0.1,1.0,0.8,2.08,1.23,1,1
1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1.06,1.2,0.54,0.41000000000000003,0.2,0.0,0.68,0.72,0.4,2,1
0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0.73,0.6,5.57,0.55,0.1,1.0,6.03,0.0,0.0,1,0
1,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,3.21,0.3,2.02,1.37,0.2,0.0,2.81,3.12,1.45,2,1
1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,3.29,0.3,1.1,1.62,0.1,0.0,1.27,2.32,1.5,1,1
0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0.64,0.6,0.0,0.31,0.1,0.0,0.0,0.48,0.25,1,1
0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1.83,0.6,1.06,0.88,0.1,1.0,1.18,1.4000000000000001,0.68,1,1
0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,2.0300000000000002,0.6,0.0,0.53,0.1,0.0,0.0,0.0,0.0,0,0
1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,2.06,1.2,0.46,1.24,0.1,0.0,0.5700000000000001,1.56,0.84,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1.97,1.2,0.85,1.18,0.2,1.0,0.99,0.0,0.0,1,0
