TRAIN_CO,CAR_CO,TRAIN_TT,CAR_TT,TRAIN_WT,CAR_WT,INC,FULL,FLEX,CHOICE,TRAIN_AV,CAR_AV
68.333046,48.347054,19.64547,81.59539,6.1272254,20.702185,0.3467528,0,1,1,1,1
97.415665,91.54176,30.014927,39.00226,19.928783,25.14318,0.22635788,0,0,1,1,1
76.1688,86.160545,55.705242,21.698914,18.350061,22.256828,0.31939888,0,0,0,1,1
33.51755,78.993744,90.56791,25.379505,26.855309,14.033885,0.44087672,1,0,1,1,1
32.9479,30.730204,8.175035,9.491591,14.837925,18.96277,0.22176939,0,0,0,1,1
44.389446,71.294365,95.91019,64.51351,19.962471,19.350185,0.89121985,1,0,1,1,1
34.808613,41.389996,31.963694,8.108716,8.262993,6.2524166,0.2618655,0,0,0,1,1
53.38316,55.028336,94.701385,90.92443,16.82034,17.3603,0.51449573,1,0,0,1,1
96.0021,87.080376,5.2146273,26.400282,10.852011,8.86167,0.37800145,1,0,1,1,1
37.841316,32.00295,54.51647,83.900024,27.531172,22.550638,0.41675496,1,1,0,1,1
47.829937,23.096058,51.110855,64.9473,9.063399,24.78917,0.604948,1,0,0,1,1
26.552908,23.348154,77.97275,81.12029,21.48938,23.128225,0.39515507,0,1,1,1,1
17.291101,8.0106735,20.268091,55.004055,14.879566,8.075947,0.5454398,1,1,0,1,1
53.045845,66.70355,77.63324,19.809237,18.15388,15.396544,0.23790352,0,0,1,1,1
53.10083,57.339645,17.844967,10.642627,16.47085,6.6381297,0.30924815,0,0,1,1,1
84.416435,62.215935,16.045937,93.57893,15.970234,29.599049,0.27665222,0,0,0,1,1
29.325335,32.794044,34.44027,38.37234,13.678021,10.470339,0.22036542,0,0,0,1,1
43.20434,43.19829,68.788,78.769005,16.37584,11.894334,0.25214028,0,0,0,1,1
89.410126,98.303604,49.76683,31.649687,21.303913,10.752621,0.25697288,0,0,0,1,1
83.34748,96.90626,82.53599,19.305708,11.978495,8.052501,0.2430662,0,0,1,1,1
68.79756,52.86894,32.510746,85.17865,15.816932,28.4155,0.29674426,0,1,1,1,1
54.585896,69.196236,74.646965,28.2135,9.246619,15.667116,0.47444826,1,0,1,1,1
65.54911,73.21413,71.74912,21.72625,19.127335,20.294449,0.21805866,0,0,1,1,1
50.08571,35.401245,36.1191,71.22135,18.042175,27.867664,0.2715066,0,0,1,1,1
61.39134,52.53355,36.791515,84.12292,17.190317,16.564627,0.23320253,0,1,1,1,1
40.520096,50.017883,97.91552,47.047417,23.881,6.3261747,0.18422228,0,1,0,1,1
53.435158,56.747444,64.335304,44.08803,11.250973,13.738419,0.20473066,0,1,0,1,1
28.93259,43.600838,95.279785,37.776566,29.686256,18.735239,0.31938827,0,1,1,1,1
22.111404,40.400116,77.91019,38.207153,24.205914,7.1535654,0.3781218,1,1,1,1,1
10.507919,17.270636,83.37588,61.1723,25.660845,28.75642,0.49348596,1,1,0,1,1
43.831272,49.000374,47.8743,38.294075,13.673822,14.860859,0.5509004,1,1,0,1,1
27.072924,27.855492,43.060005,44.708313,9.562126,8.426528,0.25425336,0,0,0,1,1
73.067215,98.70304,99.538124,68.13581,28.810114,9.119096,0.27039522,1,0,1,1,1
16.100471,6.9192214,21.868597,58.437588,29.70458,16.950933,0.6173844,1,0,1,1,1
59.8827,82.82135,96.44671,17.753344,26.612183,11.63272,0.20983647,0,0,0,1,1
63.959377,59.182465,44.828777,83.80905,15.514759,8.499174,0.20685369,0,0,0,1,1
29.972189,12.250924,45.28498,95.72966,9.755174,28.776016,0.3260361,0,1,1,1,1
34.93659,8.14247,48.99914,91.522316,14.828362,28.094503,0.5663951,1,1,1,1,1
26.435295,40.15122,40.5037,13.882256,25.415007,12.9097805,0.3790639,1,1,0,1,1
92.95884,85.6121,49.22327,77.80449,6.661279,23.918737,0.17603916,0,1,1,1,1
59.363255,1.2084551,8.340985,83.87385,6.3811646,26.149261,0.45632303,1,0,1,1,1
30.692898,32.373337,13.005903,10.692881,7.377105,7.5018363,0.604638,1,1,0,1,1
2.1438925,20.867071,74.58947,14.208122,24.157131,11.089701,0.24021845,0,0,1,1,1
96.06423,94.57765,65.439,55.564053,8.069048,19.52899,0.3539327,0,0,0,1,1
24.663445,8.774424,7.65124,42.11861,6.2602963,19.906322,0.42172426,1,1,0,1,1
99.70935,31.104445,10.226899,96.93504,5.0066442,27.548567,0.50865203,1,0,0,1,1
60.62589,37.709038,54.708378,87.60263,15.417069,18.138784,0.74242646,1,0,0,1,1
67.88943,58.66864,44.55512,66.498375,20.408506,19.861998,0.31407452,0,0,1,1,1
42.119926,30.411608,9.580781,34.865757,8.730215,22.186058,0.29525036,0,1,1,1,1
17.824165,22.49936,81.33408,72.49418,23.724754,14.37562,0.2787691,0,1,1,1,1
81.420456,76.48641,15.792163,28.013346,20.395407,19.743307,0.1734825,0,0,0,1,1
75.91843,55.36469,31.326136,85.19227,21.083244,18.24524,0.30457962,1,0,1,1,1
46.510445,36.93224,51.810043,96.328156,7.59115,29.690418,0.21791174,0,1,0,1,1
45.26339,44.667206,53.122826,74.698456,19.64232,11.791167,0.49681306,1,0,0,1,1
55.844242,62.527393,48.836826,22.904207,6.2147036,6.1943603,0.3436184,1,1,1,1,1
19.809381,39.5637,90.000595,12.119976,15.820885,9.189411,0.37257612,0,1,0,1,1
49.923225,43.31591,62.54888,91.95976,26.033651,28.806055,0.21987158,0,0,0,1,1
90.30444,92.94048,62.318783,63.926414,26.953293,21.204529,0.26887658,0,1,0,1,1
36.112762,39.539062,47.167828,60.686913,25.755787,10.615124,0.5836059,1,1,1,1,1
